"registro","iddispositivo","variable","valor","fecha"
"8","nodo_prueba_ADC","voltaje_potenciometro","1.26931742064","2018-05-28 22:52:05"
"9","nodo_prueba_ADC","voltaje_LDR","1.40624241903","2018-05-28 22:52:06"
"10","nodo_prueba_ADC","voltaje_potenciometro_externo","3.7068085321","2018-05-28 22:52:09"
"11","nodo_prueba_ADC","voltaje_sensor_corriente","2.60213823344","2018-05-28 22:52:09"
"12","nodo_prueba_ADC","voltaje_LDR","1.72490021287","2018-05-28 22:52:19"
"13","nodo_prueba_ADC","voltaje_LDR","1.40978770373","2018-05-28 22:52:21"
"14","nodo_prueba_ADC","voltaje_LDR","1.59623463109","2018-05-28 22:52:24"
"15","nodo_prueba_ADC","voltaje_LDR","2.14076663742","2018-05-28 22:52:25"
"16","nodo_prueba_ADC","voltaje_LDR","2.3714020695","2018-05-28 22:52:26"
"17","nodo_prueba_ADC","voltaje_LDR","2.18446280771","2018-05-28 22:52:27"
"18","nodo_prueba_ADC","voltaje_LDR","1.87978766916","2018-05-28 22:52:29"
"19","nodo_prueba_ADC","voltaje_LDR","1.41114967002","2018-05-28 22:52:31"
"20","nodo_prueba_ADC","voltaje_LDR","1.78941569202","2018-05-28 22:52:33"
"21","nodo_prueba_ADC","voltaje_LDR","1.39956610198","2018-05-28 22:52:35"
"22","nodo_prueba_ADC","voltaje_LDR","0.495472609457","2018-05-28 22:52:40"
"23","nodo_prueba_ADC","voltaje_LDR","0.460648591596","2018-05-28 22:52:42"
"24","nodo_prueba_ADC","voltaje_LDR","1.43142836469","2018-05-28 22:52:49"
"25","nodo_prueba_ADC","voltaje_LDR","1.54859859331","2018-05-28 22:52:52"
"26","nodo_prueba_ADC","voltaje_LDR","1.63335760037","2018-05-28 22:52:54"
"27","nodo_prueba_ADC","voltaje_LDR","1.49547117895","2018-05-28 22:52:56"
"28","nodo_prueba_ADC","voltaje_LDR","1.4044840818","2018-05-28 22:52:57"
"29","nodo_prueba_ADC","voltaje_LDR","1.67155285735","2018-05-28 22:53:10"
"30","nodo_prueba_ADC","voltaje_LDR","1.40353815598","2018-05-28 22:53:11"
"31","nodo_prueba_ADC","voltaje_LDR","2.41321950116","2018-05-28 22:53:23"
"32","nodo_prueba_ADC","voltaje_LDR","1.40952842349","2018-05-28 22:53:25"
"33","nodo_prueba_ADC","voltaje_LDR","1.52674812397","2018-05-28 22:53:40"
"34","nodo_prueba_ADC","voltaje_LDR","1.43604951335","2018-05-28 22:53:41"
"35","nodo_prueba_ADC","voltaje_LDR","1.47968607899","2018-05-28 22:53:43"
"36","nodo_prueba_ADC","voltaje_LDR","1.39418976238","2018-05-28 22:53:45"
"37","nodo_prueba_ADC","voltaje_LDR","2.36751286596","2018-05-28 22:53:49"
"38","nodo_prueba_ADC","voltaje_LDR","2.22079124699","2018-05-28 22:53:49"
"39","nodo_prueba_ADC","voltaje_LDR","2.4124947086","2018-05-28 22:53:52"
"40","nodo_prueba_ADC","voltaje_LDR","2.22790148591","2018-05-28 22:53:55"
"41","nodo_prueba_ADC","voltaje_LDR","1.76317832031","2018-05-28 22:53:56"
"42","nodo_prueba_ADC","voltaje_LDR","2.07419956615","2018-05-28 22:53:58"
"43","nodo_prueba_ADC","voltaje_LDR","1.41455905611","2018-05-28 22:54:03"
"44","nodo_prueba_ADC","voltaje_potenciometro","1.27015307786","2018-05-28 23:24:14"
"45","nodo_prueba_ADC","voltaje_LDR","2.0468392428","2018-05-28 23:24:14"
"46","nodo_prueba_ADC","voltaje_potenciometro_externo","3.70225235251","2018-05-28 23:24:16"
"47","nodo_prueba_ADC","voltaje_sensor_corriente","2.58514971556","2018-05-28 23:24:17"
"48","nodo_prueba_ADC","voltaje_potenciometro_externo","1.76114639773","2018-05-28 23:24:32"
"49","nodo_prueba_ADC","voltaje_potenciometro_externo","2.68658789236","2018-05-28 23:24:38"
"50","nodo_prueba_ADC","voltaje_potenciometro_externo","3.65502162636","2018-05-28 23:24:42"
"51","nodo_prueba_ADC","voltaje_potenciometro_externo","2.9182747505","2018-05-28 23:24:46"
"52","nodo_prueba_ADC","voltaje_potenciometro_externo","2.63969750878","2018-05-28 23:24:47"
"53","nodo_prueba_ADC","voltaje_potenciometro_externo","0.572283336196","2018-05-28 23:24:50"
"54","nodo_prueba_ADC","voltaje_LDR","3.70735629885","2018-05-28 23:24:56"
"55","nodo_prueba_ADC","voltaje_LDR","2.04750085443","2018-05-28 23:24:58"
"56","nodo_prueba_ADC","voltaje_LDR","1.38805823184","2018-05-28 23:25:17"
"57","nodo_prueba_ADC","voltaje_LDR","2.0025702718","2018-05-28 23:25:21"
"58","nodo_prueba_ADC","voltaje_sensor_corriente","2.38807408667","2018-05-28 23:25:25"
"59","nodo_prueba_ADC","voltaje_LDR","1.39908926476","2018-05-28 23:25:27"
"60","nodo_prueba_ADC","voltaje_LDR","1.32000342846","2018-05-28 23:25:28"
"61","nodo_prueba_ADC","voltaje_sensor_corriente","2.59646685081","2018-05-28 23:25:28"
"62","nodo_prueba_ADC","voltaje_sensor_corriente","2.62345941346","2018-05-28 23:25:31"
"63","nodo_prueba_ADC","voltaje_LDR","2.05362046404","2018-05-28 23:25:33"
"64","nodo_prueba_ADC","voltaje_LDR","1.32470742759","2018-05-28 23:25:39"
"65","nodo_prueba_ADC","voltaje_LDR","2.05306971706","2018-05-28 23:25:45"
"66","nodo_prueba_ADC","voltaje_LDR","1.90028570894","2018-05-28 23:26:20"
"67","nodo_prueba_ADC","voltaje_sensor_corriente","2.61464388545","2018-05-28 23:26:20"
"68","nodo_prueba_ADC","voltaje_LDR","2.04911792864","2018-05-28 23:26:23"
"69","nodo_prueba_ADC","voltaje_LDR","1.72855636222","2018-05-28 23:26:36"
"70","nodo_prueba_ADC","voltaje_LDR","2.08997274518","2018-05-28 23:26:37"
"71","nodo_prueba_ADC","voltaje_LDR","1.70084496747","2018-05-28 23:26:37"
"72","nodo_prueba_ADC","voltaje_LDR","1.36587934087","2018-05-28 23:26:38"
"73","nodo_prueba_ADC","voltaje_LDR","1.79375610277","2018-05-28 23:27:09"
"74","nodo_prueba_ADC","voltaje_LDR","2.03513229312","2018-05-28 23:27:10"
"75","nodo_prueba_ADC","voltaje_potenciometro_externo","2.926648012","2018-05-28 23:27:16"
"76","nodo_prueba_ADC","voltaje_potenciometro_externo","3.7040077095","2018-05-28 23:27:19"
"77","nodo_prueba_ADC","voltaje_potenciometro_externo","2.49701529706","2018-05-28 23:27:32"
"78","nodo_prueba_ADC","voltaje_potenciometro_externo","1.63393397736","2018-05-28 23:27:34"
"79","nodo_prueba_ADC","voltaje_potenciometro_externo","0.533521835032","2018-05-28 23:27:37"
"80","nodo_prueba_ADC","voltaje_LDR","2.3347952765","2018-05-28 23:27:42"
"81","nodo_prueba_ADC","voltaje_potenciometro","0.000226497677147","2018-05-28 23:27:44"
"82","nodo_prueba_ADC","voltaje_LDR","1.35967270847","2018-05-28 23:27:44"
"83","nodo_prueba_ADC","voltaje_LDR","2.0607938839","2018-05-28 23:27:46"
"84","nodo_prueba_ADC","voltaje_potenciometro","0.000209212328102","2018-05-28 23:27:49"
"85","nodo_prueba_ADC","voltaje_LDR","1.33563772865","2018-05-28 23:27:49"
"86","nodo_prueba_ADC","voltaje_potenciometro","0.000230670002779","2018-05-28 23:27:50"
"87","nodo_prueba_ADC","voltaje_LDR","2.29930368654","2018-05-28 23:27:50"
"88","nodo_prueba_ADC","voltaje_potenciometro","2.44597106528","2018-05-28 23:27:51"
